userid,Average Screen Time,Average Spent on App (INR),Ratings,New Password Request,Last Visited Minutes,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,is_churned,total_days_active,avg_daily_usage,std_dev_daily_usage,early_usage_avg,late_usage_avg,drop_in_usage,left_review
1001,17.0,634.0,9.0,7.0,2990.0,98.5,0.0,284.82,150.05,0.0,261.89,44.89,0.0,0.0,0.0,0.0,0.0,23.67,0.0,0.0,0.0,0.0,96.61,38.97,0.0,91.72,0.0,55.94,47.41,0.0,0.0,0.0,0.0,279.93,0.0,0.0,0.0,158.66,0.0,114.93,0.0,0.0,147.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,0.0,0.0,112.44,17.05,0.0,53.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.28,0.0,1.0,21.0,24.411111111111115,59.52983743316436,49.14666666666667,3.418333333333334,45.72833333333333,0
1002,0.0,54.0,4.0,8.0,24008.0,104.69,96.02,0.0,182.04,159.57,33.08,98.99,87.18,105.85,56.44,115.56,140.1,177.07,73.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.22,144.13,21.51,190.23,48.19,237.38,112.85,70.79,18.97,106.07,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,26.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,27.89022222222221,54.33774006577455,54.64366666666665,0.0,54.64366666666665,0
1003,37.0,207.0,8.0,5.0,971.0,119.08,36.45,0.0,300.0,32.2,235.58,156.84,55.59,161.13,198.79,178.19,300.0,0.0,122.01,281.54,184.2,171.94,172.59,300.0,13.38,247.56,48.97,21.28,215.06,34.33,0.0,0.0,0.0,125.93,0.0,202.76,108.35,111.22,48.45,0.0,0.0,42.52,296.48,0.0,116.25,0.0,286.74,0.0,169.17,218.49,139.63,142.41,287.88,284.14,300.0,300.0,300.0,254.98,300.0,300.0,300.0,286.87,151.0,300.0,243.36,300.0,179.53,0.0,0.0,83.41,0.0,199.06,0.0,0.0,0.0,0.0,0.0,0.0,171.27,0.0,0.0,0.0,81.48,4.18,139.94,120.0,0.0,92.7,138.12,300.0,300.0,300.0,212.18,300.0,78.44,0.0,66.0,149.04588888888895,141.2131021859384,137.1386666666667,107.198,29.940666666666687,0
1004,32.0,445.0,6.0,2.0,799.0,79.44,91.37,22.44,120.9,125.16,114.98,155.05,154.92,121.32,73.21,73.83,71.42,71.85,44.65,57.11,29.45,53.07,71.7,81.33,102.36,71.38,73.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.51,82.07,0.0,0.0,0.0,0.0,23.44,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.44822222222222,40.90198378688827,62.02266666666665,0.0,62.02266666666665,0
1005,45.0,427.0,5.0,6.0,3668.0,121.0,122.56,116.56,123.14,115.94,115.23,118.71,116.38,118.4,111.79,111.73,113.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.07,101.1,104.31,100.31,97.13,96.12,95.36,97.55,97.68,93.28,91.93,101.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19,88.0,85.14,79.72,82.61,79.16,79.93,80.83,73.84,84.42,73.24,76.57,80.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.94,69.64,69.16,70.42,68.74,65.64,62.47,62.15,55.6,62.63,58.03,59.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,49.06222222222222,47.50452299643268,67.04833333333333,28.439,38.60933333333333,0
1006,28.0,599.0,9.0,4.0,2878.0,122.5,116.75,121.32,111.58,107.76,107.92,105.3,99.01,93.23,86.61,81.4,75.22,83.79,75.79,70.25,68.9,71.67,59.18,55.42,56.42,53.26,43.35,43.0,41.06,39.98,34.08,27.82,28.19,28.4,26.23,14.4,18.55,9.6,8.89,3.26,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,24.353555555555563,37.805638433021336,71.17966666666668,0.0,71.17966666666668,0
1007,49.0,887.0,9.0,6.0,4481.0,0.0,0.0,300.0,0.0,300.0,300.0,300.0,0.0,0.0,229.58,178.72,0.0,0.0,0.0,0.0,0.0,11.59,300.0,97.04,0.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,148.97,0.0,0.0,0.0,0.0,117.99,0.0,0.0,0.0,0.0,0.0,0.0,143.2,300.0,0.0,300.0,0.0,0.0,61.03,214.66,0.0,300.0,300.0,0.0,0.0,0.0,0.0,300.0,0.0,204.68,0.0,0.0,0.0,300.0,0.0,300.0,20.41,300.0,214.06,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.0,37.0,185.01311111111107,292.8941000462413,294.6689999999999,154.9586666666667,139.71033333333324,0
1008,8.0,31.0,2.0,1.0,1715.0,83.99,112.73,101.97,89.97,131.83,86.06,97.46,108.02,111.26,71.89,112.71,66.98,75.09,128.53,119.54,57.86,122.93,67.03,30.46,69.27,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.47,0.0,20.01,0.0,0.0,3.81,9.66,24.22,0.0,0.0,0.0,0.0,32.28,0.0,0.0,0.0,22.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,23.259444444444444,40.70800350208903,64.20266666666666,0.0,64.20266666666666,0
1009,28.0,741.0,8.0,2.0,801.0,212.1,125.69,41.98,169.58,124.42,99.46,166.2,190.24,87.87,107.97,111.4,81.03,44.01,56.99,178.22,14.86,33.17,40.05,63.89,22.78,38.94,106.08,112.38,62.17,5.52,98.49,47.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.25788888888889,51.688036941915904,81.421,0.3526666666666667,81.06833333333334,1
1010,28.0,524.0,8.0,4.0,4621.0,61.22,142.29,31.89,58.93,129.88,117.46,153.79,124.89,136.73,130.34,75.7,116.0,106.2,122.37,68.34,87.83,69.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.58,82.6,75.67,86.16,137.94,99.65,102.28,46.55,32.17,32.58,42.64,35.57,0.0,54.12,25.75,74.85,62.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.73,89.52,40.07,7.4,22.22,17.14,166.64,37.14,42.59,52.4,57.98,56.21,62.21,30.67,12.02,0.0,52.86,0.0,0.0,0.0,0.0,0.0,1.0,49.0,40.044222222222224,47.34300088222474,57.78166666666666,27.06,30.72166666666666,0
