userid,Average Screen Time,Average Spent on App (INR),Ratings,New Password Request,Last Visited Minutes,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,is_churned,total_days_active,avg_daily_usage,std_dev_daily_usage,early_usage_avg,late_usage_avg,drop_in_usage,review,left_review
1009,28.0,741.0,8.0,2,801,212.1,125.69,41.98,169.58,124.42,99.46,166.2,190.24,87.87,107.97,111.4,81.03,44.01,56.99,178.22,14.86,33.17,40.05,63.89,22.78,38.94,106.08,112.38,62.17,5.52,98.49,47.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.25788888888889,51.688036941915904,81.421,0.3526666666666667,81.06833333333334,"The app is amazing, I planned my entire trip using it!",1
1011,44.0,688.0,8.0,5,1293,300.0,0.0,0.0,0.0,300.0,300.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,4.19,0.0,0.0,300.0,276.05,300.0,244.38,300.0,300.0,300.0,0.0,267.9,0.0,0.0,0.0,0.0,215.85,300.0,0.0,0.0,179.07,0.0,0.0,300.0,225.87,300.0,0.0,300.0,0.0,0.0,300.0,300.0,0.0,0.0,86.42,0.0,0.0,118.05,300.0,0.0,0.0,203.41,0.0,63.28,294.82,300.0,300.0,0.0,0.0,300.0,0.0,0.0,212.9,0.0,0.0,300.0,300.0,0.0,124.63,227.55,0.0,300.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.14,0.0,0.0,1.0,42.0,234.931,347.53152474272025,301.16966666666667,182.21166666666667,118.958,"Premium unlocks great features, definitely worth the upgrade.",1
1015,32.0,251.0,5.0,4,2595,112.18,0.0,97.62,0.0,88.55,0.0,86.06,0.0,68.27,0.0,69.19,49.73,36.32,0.0,31.4,25.09,42.68,0.0,30.57,18.99,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,8.462111111111113,23.44336879454304,25.386333333333337,0.0,25.386333333333337,"After the update, the app crashes at least once every session.",1
1018,34.0,341.0,6.0,1,3124,103.56,105.5,95.61,0.0,0.0,0.0,103.03,124.14,117.84,0.0,0.0,0.0,0.0,94.71,94.43,10.9,0.0,0.0,60.07,108.34,4.58,0.0,0.0,0.0,0.0,73.65,0.87,57.22,0.0,0.0,0.0,111.51,15.58,0.0,0.0,0.0,85.6,107.16,11.4,47.46,0.0,0.0,20.04,73.62,0.0,22.16,0.0,0.0,5.32,0.0,75.29,0.0,0.0,0.0,0.0,3.48,35.21,41.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,20.22777777777778,37.49774191786523,38.48166666666668,0.3483333333333333,38.13333333333334,Some premium features are not as useful as advertised.,1
1021,15.0,774.0,7.0,1,631,118.06,121.8,129.41,113.39,98.73,116.09,109.76,107.48,125.3,94.94,104.7,108.3,117.23,116.13,85.86,105.73,91.93,90.74,85.29,112.77,99.84,76.33,95.52,92.89,94.28,82.18,78.57,92.2,96.6,93.55,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.76,38.45,49.22,43.49,46.28,35.54,31.03,56.8,46.86,31.26,28.62,31.44,28.09,34.25,0.59,24.31,19.4,35.1,39.17,11.88,31.78,25.06,9.86,18.77,17.48,19.8,22.69,18.18,8.31,0.0,60.0,44.240777777777794,44.52289753605714,101.85333333333334,28.51566666666666,73.33766666666668,Issues with search button.,1
1022,34.0,482.0,6.0,8,4057,300.0,300.0,0.0,207.74,0.0,0.0,0.0,300.0,300.0,300.0,166.82,0.0,300.0,179.05,0.0,300.0,108.0,0.0,300.0,0.0,94.35,0.0,286.54,31.62,0.0,300.0,300.0,0.0,0.0,90.75,0.0,0.0,189.96,0.0,0.0,0.0,300.0,300.0,300.0,0.0,55.31,0.0,300.0,0.0,0.0,300.0,166.85,0.0,0.0,0.0,0.0,0.0,111.1,0.0,300.0,0.0,300.0,134.72,300.0,300.0,0.0,300.0,0.0,0.0,300.0,300.0,63.76,56.07,0.0,0.0,0.0,300.0,0.0,76.8,0.0,0.0,300.0,300.0,204.69,101.92,0.0,118.94,0.0,0.0,35.26,0.0,247.61,0.0,0.0,0.0,1.0,46.0,169.84500000000003,228.6301594044973,230.33666666666667,111.79133333333334,118.54533333333332,Love sharing travel photos.,1
1025,34.0,400.0,8.0,4,4189,300.0,251.58,137.3,0.0,159.18,195.95,0.0,300.0,298.47,0.0,0.0,61.25,300.0,300.0,120.7,0.0,0.0,0.0,0.0,0.0,0.0,39.97,0.0,0.0,72.1,93.96,0.0,0.0,0.0,0.0,0.0,0.0,127.78,0.0,0.0,30.28,0.0,0.0,300.0,0.0,0.0,47.27,300.0,300.0,200.37,0.0,129.43,0.0,0.0,300.0,25.4,0.0,0.38,0.0,0.0,0.0,0.0,124.43,0.0,16.97,62.58,0.0,0.0,0.0,158.91,0.0,0.15,0.0,0.0,300.0,0.0,0.0,300.0,73.76,118.09,300.0,0.0,0.0,30.39,0.0,9.9,300.0,0.0,49.74,0.0,0.0,29.44,0.0,0.0,0.0,1.0,40.0,85.84722222222223,149.35720523335524,97.80833333333334,78.109,19.699333333333342,Easy to split expenses.,1
1028,49.0,848.0,5.0,4,419,191.69,127.39,154.84,261.56,53.38,40.68,130.47,52.17,143.93,0.0,0.0,62.62,73.94,0.0,177.26,99.5,0.0,153.46,18.55,212.68,0.0,53.61,52.68,182.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.66,10.83,0.0,0.0,0.0,0.0,0.0,0.0,15.71,129.33,0.0,4.63,0.0,1.75,85.98,9.34,0.0,0.0,34.92,0.0,0.0,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.734,58.240355015741024,74.76033333333334,5.303,69.45733333333334,Keeps my trips organized.,1
1030,47.0,195.0,9.0,4,4060,174.16,155.76,67.36,126.91,112.78,174.84,143.2,169.44,157.24,175.9,180.15,175.22,81.57,151.66,156.29,203.87,261.53,210.55,146.22,244.55,267.78,165.18,52.22,7.61,3.23,43.51,25.0,0.0,0.0,82.47,59.39,18.14,57.05,46.71,74.85,66.89,61.31,75.8,86.21,135.32,81.79,85.1,31.54,300.0,300.0,300.0,300.0,300.0,300.0,300.0,297.45,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,256.12,214.05,225.13,231.08,236.6,246.25,244.46,300.0,231.97,300.0,300.0,283.17,258.44,258.41,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,88.0,243.77233333333328,153.3407795248247,130.54000000000002,354.1576666666667,-223.6176666666667,"The premium features are fantastic, especially for frequent travelers. Totally worth the extra cost.",1
1034,12.0,243.0,5.0,5,2920,117.89,128.68,105.88,109.91,111.56,110.99,82.26,89.02,91.9,86.69,72.3,77.96,78.2,76.14,84.47,49.39,81.56,52.08,42.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,18.32577777777778,37.159905116464834,54.97733333333334,0.0,54.97733333333334,I can finally keep track of my trip expenses without needing a separate app.,1
