feature,importance
Day_83,0.03280977
Day_35,0.0267506
Day_24,0.024813099
Ratings,0.02316626
Average Screen Time,0.023152485
Day_86,0.022848537
Day_56,0.020772614
Day_43,0.018862518
Day_18,0.018266985
Day_25,0.018151676
Day_57,0.017663399
Day_64,0.017374018
Day_30,0.01712726
Day_84,0.01682272
Day_89,0.016572256
Day_73,0.01642979
Day_31,0.0161572
Day_22,0.01421626
Day_48,0.013576725
early_usage_avg,0.013466665
Day_80,0.013142055
Day_52,0.012585161
Day_63,0.012496367
Day_42,0.0123606175
Day_75,0.012263239
late_usage_avg,0.012021635
Day_37,0.012012381
Day_85,0.011964424
Day_6,0.011936497
Day_50,0.011792332
Day_78,0.011745227
Day_10,0.011707863
Day_76,0.011613915
Day_41,0.01135824
Day_51,0.0109779565
Day_27,0.01072183
Day_81,0.010607488
Day_34,0.010594532
Day_13,0.010293947
total_days_active,0.010229024
New Password Request,0.01003256
Day_79,0.009987468
Day_74,0.009671046
Day_19,0.009436596
avg_daily_usage,0.009294394
Day_21,0.009020937
Day_62,0.008907707
Average Spent on App (INR),0.008859538
Day_9,0.008668234
Day_87,0.008608509
Day_45,0.008315922
Day_38,0.0081626475
Day_29,0.007952263
drop_in_usage,0.007911885
Day_39,0.007894948
Day_32,0.0078050923
Day_53,0.007750445
Day_4,0.00765233
Day_88,0.0076014805
Day_66,0.0075646886
Day_23,0.007508116
Day_55,0.0073643713
Day_71,0.007177905
Day_1,0.0068484913
Day_40,0.006840206
Day_70,0.006707938
Day_47,0.006702541
Day_3,0.0066996166
Day_16,0.006636174
Day_17,0.0066349357
Day_46,0.006489823
Day_69,0.0062855524
Day_82,0.006256321
Day_20,0.0062239063
Day_15,0.006001657
Day_26,0.0059908656
Day_90,0.005827346
Day_36,0.005579955
Day_65,0.005185229
Day_49,0.0048936023
Day_7,0.004875917
Day_77,0.004856105
Day_68,0.0047942316
Day_8,0.0046814
Day_14,0.0046086507
Day_28,0.004485816
Day_44,0.004450676
Day_2,0.0044127996
Day_67,0.004352105
Day_5,0.0042535025
Day_60,0.004062487
std_dev_daily_usage,0.004012767
Day_11,0.0039239572
Day_12,0.0039133686
Day_72,0.0037927798
Day_33,0.0035898592
Day_54,0.0031889554
Day_59,0.002846002
Day_58,0.0022861252
Day_61,0.002233566
